ID,Decision,Notes
9552,Home,
9556,Community,
9558,Community,
9560,Home,
9568,Community,
9572,Home,
9575,Home,
9576,Home,
9589,Home,
9593,Home,
9603,Home,
9615,Home,
9619,Home,
9621,Home,
9623,Home,
9677,Home,
9681,Home,
9698,Home,
9702,Home,
9711,Home,
9713,Home,
9747,Community,
9751,Community,
9760,Community,
9762,Community,
9764,Community,
9778,Community,
9791,Home,
9815,Home,
9817,Home,
9819,Home,
9823,Home,
9829,Home,
9835,Home,
9842,Home,
9847,Community,
9861,Community,
9863,Community,
9867,Home,
9869,Community,
9870,Community,
9877,Home,
9904,Community,
9906,Home,
9912,Community,
9914,Community,
9920,Community,
9922,Community,
9940,Community,
9943,Community,
9945,Community,
9953,Community,
9956,Community,
9958,Community,
9966,Home,
9970,Community,
9972,Community,
9992,Community,
9994,Community,
10000,Community,
10011,Community,
10013,Community,
10028,Home,
10032,Home,
10042,Home,
10043,Home,
10058,Home,
10060,Home,
10074,Community,
10093,Community,
10102,Home,
10103,Home,
10106,Community,
10108,Community,
10109,Community,
10112,Home,
10116,Home,
10120,Home,
10122,Home,
10126,Community,
10137,Home,
10143,Community,
10166,Home,
10200,Home,
10212,Community,
10222,Home,
10226,Home,
10243,Home,
10249,Home,
10255,Home,
10275,Community,
10276,Community,
10277,Home,
10278,Home,
10279,Home,
10280,Home,
10281,Home,
10282,Home,
10283,Community,
10284,Home,
10331,Home,
10433,Community,
10535,Home,
10739,Home,
10941,Home,
11143,Home,
11144,Home,
11145,Home,
11043,Home,
11044,Home,
11045,Home,
11046,Home,
11047,Home,
11048,Home,
11049,Home,
11146,Home,
11147,Home,
11148,Home,
11149,Home,
11150,Community,
11151,Community,
11152,Home,
11153,Home,
11154,Home,
11155,Home,
11156,Home,
11157,Home,
11158,Home,
11159,Home,
11160,Home,
11161,Home,
11162,Home,
11163,Home,
11164,Community,
11165,Home,
11166,Home,
11167,Home,
11168,Home,
11169,Community,
11170,Home,
11171,Home,
11172,Home,
11173,Home,
11174,Home,
11175,Home,
11176,Home,
11177,Home,
11178,Home,
10363,Home,
10364,Home,
10365,Home,
10366,Home,
10367,Home,
10368,Home,
10369,Home,
10370,Home,
10371,Home,
10372,Home,
10373,Home,
10374,Home,
10375,Home,
10376,Home,
10377,Home,
10378,Home,
10379,Home,
10380,Home,
10381,Home,
10382,Home,
10383,Home,
10384,Home,
10385,Home,
10386,Home,
10387,Home,
10388,Home,
10389,Home,
10390,Home,
10391,Home,
10392,Home,
10393,Home,
10394,Home,
10395,Home,
10396,Home,
10397,Home,
10398,Home,
10399,Home,
10400,Home,
10401,Home,
10402,Home,
10403,Home,
10404,Community,
10405,Community,
10406,Home,
10407,Community,
10408,Home,
10409,Community,
10410,Community,
10411,Community,
10412,Home,
10285,Home,
10286,Home,
10287,Community,
10288,Home,
10289,Home,
10290,Home,
10291,Home,
10292,Home,
10293,Home,
10294,Home,
10295,Home,
10296,Home,
10297,Home,
10298,Home,
10299,Community,
10300,Home,
10301,Community,
10302,Community,
10303,Community,
10304,Home,
10305,Community,
10306,Community,
10307,Community,
10308,Community,
10309,Home,
10310,Community,
10311,Home,
10313,Community,
10314,Home,
10315,Home,
10316,Home,
10317,Home,
10318,Community,
10319,Home,
10320,Community,
10321,Home,
10322,Home,
10323,Home,
10324,Home,
10325,Home,
10326,Community,
10327,Home,
10328,Home,
10329,Home,
10330,Home,
10332,Home,
10333,Home,
10334,Home,
10335,Home,
10336,Home,
10337,Home,
10338,Home,
10339,Home,
10340,Home,
10341,Home,
10342,Home,
10343,Home,
10344,Home,
10345,Home,
10346,Home,
10347,Home,
10348,Home,
10349,Home,
10350,Home,
10351,Home,
10352,Home,
10354,Home,
10355,Community,
10357,Home,
10358,Home,
10359,Home,
10360,Home,
10361,Home,
10362,Home,
10413,Home,
10414,Community,
10415,Home,
10416,Home,
10417,Home,
10418,Home,
10419,Home,
10420,Home,
10421,Home,
10422,Community,
10423,Home,
10424,Home,
10425,Home,
10426,Home,
10427,Home,
10428,Home,
10429,Community,
10430,Community,
10431,Community,
10432,Community,
10435,Home,
10437,Community,
10438,Community,
10439,Community,
10440,Community,
10441,Community,
10442,Community,
10443,Home,
10444,Community,
10445,Home,
10446,Home,
10447,Home,
10448,Home,
10449,Home,
10450,Home,
10451,Home,
10452,Home,
10453,Home,
10454,Home,
10455,Community,
10456,Community,
10457,Community,
10458,Home,
10459,Community,
10460,Home,
10461,Home,
10462,Home,
10463,Home,
10464,Home,
10465,Home,
10466,Home,
10467,Home,
10468,Home,
10469,Home,
10470,Home,
10471,Home,
10472,Home,
10473,Home,
10474,Home,
10475,Home,
10476,Home,
10477,Home,
10478,Home,
10479,Home,
10480,Home,
10481,Home,
10482,Home,
10483,Home,
10484,Home,
10485,Home,
10486,Home,
10487,Home,
10488,Home,
10489,Home,
10490,Home,
10491,Home,
10492,Home,
10493,Home,
10494,Home,
10495,Home,
10496,Home,
10497,Home,
10498,Home,
10499,Home,
10500,Home,
10501,Home,
10502,Community,
10503,Home,
10504,Home,
10505,Home,
10506,Home,
10507,Home,
10508,Home,
10509,Home,
10510,Home,
10511,Home,
10512,Home,
10513,Home,
10514,Home,
10515,Home,
10516,Home,
10517,Home,
10518,Home,
10519,Home,
10520,Home,
10521,Home,
10522,Home,
10523,Home,
10524,Home,
10525,Home,
10526,Home,
10527,Home,
10528,Home,
10529,Home,
10530,Home,
10531,Home,
10532,Home,
10533,Home,
10534,Home,
10536,Home,
10537,Home,
10538,Home,
10539,Home,
10540,Home,
10541,Home,
10542,Home,
10543,Home,
10544,Home,
10545,Home,
10546,Home,
10547,Home,
10548,Home,
10549,Home,
10550,Community,
10551,Home,
10552,Home,
10553,Home,
10554,Home,
10555,Home,
10556,Home,
10557,Community,
10558,Home,
10559,Home,
10560,Home,
10561,Home,
10562,Home,
10563,Home,
10564,Home,
10565,Home,
10566,Home,
10567,Home,
10568,Home,
10569,Home,
10570,Home,
10571,Home,
10572,Home,
10573,Home,
10574,Home,
10575,Home,
10576,Home,
10577,Home,
10578,Home,
10579,Home,
10580,Home,
10581,Home,
10582,Home,
10583,Home,
10584,Home,
10585,Home,
10586,Home,
10587,Home,
10588,Community,
10589,Home,
10590,Home,
10591,Home,
10592,Home,
10593,Home,
10594,Home,
10595,Home,
10596,Home,
10597,Home,
10598,Home,
10599,Home,
10600,Home,
10601,Home,
10602,Home,
10603,Home,
10604,Home,
10605,Home,
10606,Home,
10607,Home,
10608,Home,
10609,Home,
10610,Home,
10611,Home,
10612,Community,
10613,Home,
10614,Home,
10615,Home,
10616,Home,
10617,Home,
10618,Home,
10619,Home,
10620,Home,
10621,Community,
10622,Community,
10623,Home,
10624,Home,
10625,Home,
10626,Home,
10627,Community,
10628,Home,
10629,Home,
10630,Home,
10631,Community,
10632,Community,
10633,Home,
10635,Community,
10637,Community,
10638,Community,
10639,Community,
10640,Community,
10641,Community,
10642,Community,
10643,Community,
10644,Community,
10645,Community,
10646,Community,
10647,Community,
10648,Community,
10649,Home,
10650,Home,
10651,Home,
10652,Community,
10653,Community,
10654,Community,
10655,Community,
10656,Community,
10657,Community,
10658,Home,
10659,Home,
10660,Community,
10661,Home,
10662,Home,
10663,Community,
10664,Community,
10665,Community,
10666,Home,
10667,Community,
10668,Community,
10669,Community,
10671,Community,
10672,Community,
10673,Community,
10674,Community,
10675,Home,
10676,Community,
10677,Home,
10678,Home,
10695,Community,
10696,Community,
10699,Community,
10703,Community,
10707,Community,
10711,Community,
10722,Community,
10723,Home,
10772,Community,
10774,Community,
10776,Community,
10822,Home,
10831,Community,
10856,Community,
10876,Community,
10877,Community,
10878,Home,
10883,Community,
10891,Community,
10899,Community,
